emp_no,dept_no,from_date,to_date,calYr,gender,dept_name,Active
110022,d001,1995-12-30,1998-12-29,1994,M,Marketing,0
110039,d001,1997-04-09,9999-01-01,1994,M,Marketing,0
110040,d001,1991-12-31,1997-12-29,1994,M,Marketing,1
110041,d001,1993-08-02,1998-08-01,1994,F,Marketing,1
110042,d001,1993-12-30,2000-12-28,1994,M,Marketing,1
110043,d001,1992-11-20,1997-11-19,1994,F,Marketing,1
110044,d001,1995-10-13,2000-10-11,1994,F,Marketing,0
110045,d001,1995-02-04,9999-01-01,1994,M,Marketing,0
110046,d001,1996-12-29,2002-12-28,1994,F,Marketing,0
110047,d001,1993-01-06,1999-01-05,1994,F,Marketing,1
110048,d001,1994-08-10,1999-08-09,1994,M,Marketing,1
110049,d001,1991-06-09,1999-06-07,1994,M,Marketing,1
110050,d001,1998-05-29,2000-05-27,1994,F,Marketing,0
110051,d001,1999-05-29,2000-05-27,1994,M,Marketing,0
110085,d002,1991-12-31,1998-12-29,1994,M,Finance,1
110114,d002,1991-01-13,9999-01-01,1994,F,Finance,1
110115,d002,1993-12-30,1999-12-29,1994,F,Finance,1
110116,d002,1995-08-02,2000-07-31,1994,F,Finance,0
110117,d002,1995-12-30,2002-12-28,1994,M,Finance,0
110118,d002,1994-11-20,1999-11-19,1994,M,Finance,1
110119,d002,1997-10-12,2002-10-11,1994,M,Finance,0
110120,d002,1997-02-03,9999-01-01,1994,M,Finance,0
110121,d002,1998-12-29,2004-12-27,1994,M,Finance,0
110122,d002,1995-01-06,2001-01-04,1994,F,Finance,0
110123,d002,1996-08-09,2001-08-08,1994,M,Finance,0
110124,d002,1993-06-08,2001-06-06,1994,M,Finance,1
110125,d002,1993-12-30,2000-12-28,1994,M,Finance,1
110126,d002,1999-05-29,2000-05-27,1994,M,Finance,0
110127,d002,2000-05-29,9999-01-01,1994,M,Finance,0
110183,d003,1990-12-31,1996-12-29,1994,F,"Human Resources",1
110228,d003,1992-08-02,1997-08-01,1994,F,"Human Resources",1
110229,d003,1994-11-25,2001-11-23,1994,M,"Human Resources",1
110230,d003,1993-10-16,1998-10-15,1994,M,"Human Resources",1
110231,d003,1996-09-07,2001-09-06,1994,M,"Human Resources",0
110232,d003,1995-12-31,9999-01-01,1994,M,"Human Resources",0
110233,d003,1997-11-24,2003-11-23,1994,M,"Human Resources",0
110234,d003,1993-12-02,1999-12-01,1994,F,"Human Resources",1
110235,d003,1995-07-06,2000-07-04,1994,M,"Human Resources",0
110236,d003,1992-05-04,2000-05-02,1994,F,"Human Resources",1
110237,d003,1992-10-01,2000-09-29,1994,M,"Human Resources",1
110238,d003,1994-05-15,2000-05-27,1994,F,"Human Resources",1
110239,d003,1997-05-29,2000-05-27,1994,M,"Human Resources",0
110240,d003,2000-05-29,9999-01-01,1994,F,"Human Resources",0
110303,d004,1992-12-30,1999-12-29,1994,F,Production,1
110344,d004,1991-11-21,1996-11-19,1994,F,Production,1
110386,d004,1994-10-13,1999-10-12,1994,M,Production,1
110420,d004,1994-02-04,9999-01-01,1994,M,Production,1
110421,d004,1991-01-30,1996-06-07,1994,M,Production,1
110422,d004,1990-03-11,1993-07-18,1994,M,Production,0
110423,d004,1991-03-23,1996-03-21,1994,M,Production,1
110424,d004,1990-07-15,1992-02-11,1994,M,Production,0
110425,d004,1992-12-30,2001-12-28,1994,M,Production,1
110426,d004,1993-04-25,1998-10-18,1994,M,Production,1
110427,d004,1993-03-30,1998-03-29,1994,M,Production,1
110428,d004,1996-02-20,2001-02-18,1994,M,Production,0
110429,d004,1995-06-14,2004-12-27,1994,F,Production,0
110430,d004,1998-05-29,2000-05-27,1994,M,Production,0
110511,d005,1991-12-31,2000-12-28,1994,M,Development,1
110567,d005,1992-04-25,1997-10-18,1994,F,Development,1
